104.558,Info,Arena,7,Exit_Zone,1
104.558,Info,Arena,7,Enter_Zone,4
104.596,Info,Arena,2,Exit_Zone,2
104.596,Info,Arena,2,Enter_Zone,4
104.669,Info,Arena,2,Exit_Zone,4
104.669,Info,Arena,2,Enter_Zone,2
104.706,Info,Arena,8,Exit_Zone,2
104.706,Info,Arena,8,Enter_Zone,4
104.783,Info,Arena,1,Exit_Zone,3
104.783,Info,Arena,1,Enter_Zone,4
104.892,Info,Arena,7,Exit_Zone,4
104.892,Info,Arena,7,Enter_Zone,2
104.933,Info,Arena,3,Exit_Zone,1
104.933,Info,Arena,3,Enter_Zone,4
105.194,Info,Arena,3,Exit_Zone,4
105.194,Info,Arena,3,Enter_Zone,3
105.388,Info,Arena,1,Exit_Zone,4
105.388,Info,Arena,1,Enter_Zone,1
105.463,Info,Arena,8,Exit_Zone,4
105.463,Info,Arena,8,Enter_Zone,3
105.586,Info,Arena,4,Exit_Zone,2
105.586,Info,Arena,4,Enter_Zone,4
105.882,Info,Arena,4,Exit_Zone,4
105.882,Info,Arena,4,Enter_Zone,1
106.309,Info,Arena,6,Exit_Zone,1
106.309,Info,Arena,6,Enter_Zone,4
106.631,Info,Arena,6,Exit_Zone,4
106.631,Info,Arena,6,Enter_Zone,3
107.779,Info,Arena,3,Exit_Zone,3
107.779,Info,Arena,3,Enter_Zone,4
107.982,Info,Arena,3,Exit_Zone,4
107.982,Info,Arena,3,Enter_Zone,2
108.876,Info,Arena,6,Exit_Zone,3
108.876,Info,Arena,6,Enter_Zone,4
109.395,Info,Arena,6,Exit_Zone,4
109.395,Info,Arena,6,Enter_Zone,2
109.581,Info,Arena,7,Exit_Zone,2
109.581,Info,Arena,7,Enter_Zone,4
109.935,Info,Arena,7,Exit_Zone,4
109.935,Info,Arena,7,Enter_Zone,1
110.151,Info,Arena,1,Exit_Zone,1
110.151,Info,Arena,1,Enter_Zone,4
110.516,Info,Arena,8,Exit_Zone,3
110.516,Info,Arena,8,Enter_Zone,4
110.657,Info,Arena,2,Exit_Zone,2
110.657,Info,Arena,2,Enter_Zone,4
110.828,Info,Arena,8,Exit_Zone,4
110.828,Info,Arena,8,Enter_Zone,1
111.102,Info,Arena,1,Exit_Zone,4
111.102,Info,Arena,1,Enter_Zone,3
111.276,Info,Arena,2,Exit_Zone,4
111.276,Info,Arena,2,Enter_Zone,1
112.538,Info,Arena,6,Exit_Zone,2
112.538,Info,Arena,6,Enter_Zone,4
113.058,Info,Arena,6,Exit_Zone,4
113.058,Info,Arena,6,Enter_Zone,1
113.164,Info,Arena,7,Exit_Zone,1
113.164,Info,Arena,7,Enter_Zone,4
113.514,Info,Arena,7,Exit_Zone,4
113.514,Info,Arena,7,Enter_Zone,2
115.259,Info,Arena,5,Exit_Zone,3
115.259,Info,Arena,5,Enter_Zone,4
